transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00686,2026-01-13T21:01:34Z,60.8,fuel,DE,True,False
txn_0000001,card_00024,2026-01-25T05:52:58Z,362.72,atm_withdrawal,SG,False,False
txn_0000002,card_00388,2026-01-16T20:26:58Z,21.83,utilities,IN,False,False
txn_0000003,card_00587,2026-01-21T20:03:23Z,431.05,online_retail,US,True,False
txn_0000004,card_00077,2026-01-10T23:09:47Z,215.03,online_retail,US,False,False
txn_0000005,card_00655,2026-01-16T21:35:48Z,141.23,atm_withdrawal,US,False,False
txn_0000006,card_00273,2026-01-27T12:58:57Z,54.76,entertainment,IN,False,False
txn_0000007,card_00667,2026-01-14T02:18:36Z,12.36,travel,AE,True,False
txn_0000008,card_00241,2026-01-28T01:15:27Z,132.78,atm_withdrawal,SG,False,False
txn_0000009,card_00338,2026-01-28T14:17:46Z,91.29,electronics,SG,True,False
txn_0000010,card_00168,2026-01-15T21:32:52Z,121.87,utilities,AE,False,False
txn_0000011,card_00321,2026-01-17T04:23:17Z,268.51,pharmacy,SG,False,False
txn_0000012,card_00309,2026-01-08T17:48:02Z,137.5,entertainment,AE,True,False
txn_0000013,card_00090,2026-01-08T04:25:47Z,48.26,utilities,GB,True,False
txn_0000014,card_00682,2026-01-19T04:04:08Z,88.68,online_retail,US,False,True
txn_0000015,card_00298,2026-01-30T11:03:33Z,45.21,online_retail,SG,True,False
txn_0000016,card_00517,2026-01-12T13:31:30Z,21.06,fuel,AE,True,False
txn_0000017,card_00303,2026-01-11T21:55:02Z,37.5,online_retail,AE,True,False
txn_0000018,card_00209,2026-01-01T15:15:41Z,49.26,atm_withdrawal,IN,True,False
txn_0000019,card_00512,2026-01-30T01:52:18Z,1611.19,utilities,AE,False,False
txn_0000020,card_00222,2026-01-06T03:53:13Z,70.33,entertainment,GB,True,False
txn_0000021,card_00398,2026-01-08T14:54:44Z,83.41,travel,IN,False,False
txn_0000022,card_00001,2026-01-09T15:23:46Z,216.82,electronics,SG,False,False
txn_0000023,card_00485,2026-01-18T10:41:38Z,309.14,pharmacy,US,True,False
txn_0000024,card_00438,2026-01-24T10:48:38Z,175.23,pharmacy,IN,False,False
txn_0000025,card_00731,2026-01-03T14:56:26Z,23.04,atm_withdrawal,US,False,False
txn_0000026,card_00136,2026-01-05T02:08:45Z,135.5,utilities,SG,False,False
txn_0000027,card_00465,2026-01-06T11:13:38Z,37.92,fuel,AE,False,False
txn_0000028,card_00684,2026-01-27T11:00:53Z,3829.16,electronics,IN,True,True
txn_0000029,card_00600,2026-01-29T13:40:21Z,32.8,travel,US,False,False
txn_0000030,card_00354,2026-01-18T15:08:23Z,54.92,fuel,GB,True,False
txn_0000031,card_00537,2026-01-19T14:42:17Z,199.95,grocery,AE,False,False
txn_0000032,card_00683,2026-01-16T12:46:04Z,43.64,utilities,SG,False,False
txn_0000033,card_00429,2026-01-29T10:16:12Z,27.73,entertainment,GB,True,False
txn_0000034,card_00750,2026-01-20T23:37:01Z,50.27,restaurant,AE,True,False
txn_0000035,card_00415,2026-01-04T07:21:45Z,33.26,entertainment,AE,False,False
txn_0000036,card_00542,2026-01-20T19:44:58Z,42.33,grocery,IN,True,False
txn_0000037,card_00391,2026-01-21T07:48:04Z,80.65,online_retail,GB,True,False
txn_0000038,card_00889,2026-01-14T02:04:23Z,84.13,atm_withdrawal,IN,True,False
